Id,acct,Name,role,email_domain
CT0125,P-1125,Lars Petrov,FINANCE,mail.test
CT0126,P-1148,Jonas Jensen,FINANCE,corp.example
CT0127,P-1231,Tomas Iqbal,WAREHOUSE,example.com
CT0128,P-1030,Rosa Dvorak,OPS,mail.test
CT0129,P-1025,Lars Costa,FINANCE,mail.test
CT0130,P-1048,Boris Novak,FINANCE,example.com
CT0131,P-1164,Tomas Fuentes,OPS,corp.example
CT0132,P-1174,Stefan Fuentes,FINANCE,mail.test
CT0133,P-1029,Quinn Lindgren,OPS,corp.example
CT0134,P-1236,Carmen Eriksen,FINANCE,mail.test
CT0135,P-1060,Jonas Brennan,BUYER,corp.example
CT0136,P-1188,Carmen Eriksen,BUYER,example.com
CT0137,P-1027,Omar Riva,OPS,corp.example
CT0138,P-1189,Hamid Gallo,FINANCE,corp.example
CT0139,P-1040,Elena Costa,FINANCE,example.com
CT0140,P-1007,Stefan Marek,FINANCE,example.com
CT0141,P-1157,Femi Petrov,FINANCE,example.com
CT0142,P-1060,Femi Iqbal,FINANCE,corp.example
CT0143,P-1189,Carmen Costa,OPS,example.com
CT0144,P-1199,Rosa Marek,FINANCE,corp.example
CT0145,P-1192,Jonas Lindgren,OPS,mail.test
CT0146,P-1012,Ines Eriksen,OPS,mail.test
CT0147,P-1029,Tomas Eriksen,FINANCE,corp.example
CT0148,P-1132,Greta Riva,OPS,mail.test
CT0149,P-1168,Quinn Costa,BUYER,corp.example
CT0150,P-1115,Omar Eriksen,OPS,mail.test
CT0151,P-1035,Nadia Costa,OPS,mail.test
CT0152,P-1079,Jonas Lindgren,OPS,corp.example
CT0153,P-1018,Omar Lindgren,BUYER,mail.test
CT0154,P-1083,Carmen Quist,OPS,mail.test
CT0155,P-1129,Quinn Costa,OPS,example.com
CT0156,P-1216,Elena Sorensen,BUYER,mail.test
CT0157,P-1042,Greta Novak,OPS,corp.example
CT0158,P-1036,Greta Tanaka,WAREHOUSE,example.com
CT0159,P-1110,Elena Brennan,OPS,example.com
CT0160,P-1231,Rosa Adler,FINANCE,example.com
CT0161,P-1108,Greta Fuentes,BUYER,example.com
CT0162,P-1004,Rosa Dvorak,BUYER,corp.example
CT0163,P-1152,Nadia Lindgren,OPS,example.com
CT0164,P-1008,Dev Tanaka,WAREHOUSE,corp.example
CT0165,P-1058,Greta Riva,OPS,corp.example
CT0166,P-1205,Greta Hansen,FINANCE,corp.example
CT0167,P-1102,Priya Jensen,BUYER,example.com
CT0168,P-1126,Tomas Petrov,WAREHOUSE,corp.example
CT0169,P-1079,Greta Quist,OPS,corp.example
CT0170,P-1120,Carmen Adler,WAREHOUSE,example.com
CT0171,P-1015,Omar Costa,OPS,mail.test
CT0172,P-1140,Tomas Kovacs,FINANCE,mail.test
CT0173,P-1052,Lars Fuentes,FINANCE,mail.test
CT0174,P-1033,Dev Gallo,BUYER,example.com
CT0175,P-1122,Omar Brennan,FINANCE,example.com
CT0176,P-1074,Hamid Dvorak,BUYER,mail.test
CT0177,P-1034,Katya Dvorak,FINANCE,corp.example
CT0178,P-1109,Nadia Dvorak,WAREHOUSE,mail.test
CT0179,P-1038,Katya Lindgren,OPS,example.com
CT0180,P-1112,Rosa Marek,OPS,mail.test
CT0181,P-1095,Aisha Lindgren,FINANCE,mail.test
CT0182,P-1079,Quinn Lindgren,OPS,mail.test
CT0183,P-1041,Mei Adler,WAREHOUSE,corp.example
CT0184,P-1152,Lars Petrov,FINANCE,mail.test
CT0185,P-1131,Hamid Petrov,BUYER,example.com
CT0186,P-1101,Nadia Petrov,OPS,corp.example
CT0187,P-1062,Hamid Gallo,OPS,example.com
CT0188,P-1207,Jonas Petrov,FINANCE,example.com
CT0189,P-1118,Dev Fuentes,BUYER,mail.test
CT0190,P-1233,Elena Novak,WAREHOUSE,corp.example
CT0191,P-1036,Jonas Okafor,OPS,mail.test
CT0192,P-1050,Quinn Marek,OPS,mail.test
CT0193,P-1177,Mei Eriksen,OPS,example.com
CT0194,P-1217,Quinn Marek,FINANCE,example.com
CT0195,P-1175,Mei Adler,FINANCE,corp.example
CT0196,P-1240,Greta Novak,BUYER,mail.test
CT0197,P-1075,Elena Costa,OPS,mail.test
CT0198,P-1141,Katya Brennan,FINANCE,corp.example
CT0199,P-1160,Jonas Quist,BUYER,example.com
CT0200,P-1227,Omar Costa,OPS,mail.test
CT0201,P-1124,Carmen Okafor,BUYER,corp.example
CT0202,P-1123,Femi Eriksen,WAREHOUSE,corp.example
CT0203,P-1218,Hamid Brennan,WAREHOUSE,mail.test
CT0204,P-1115,Tomas Adler,WAREHOUSE,corp.example
CT0205,P-1013,Hamid Dvorak,BUYER,corp.example
CT0206,P-1215,Greta Jensen,OPS,example.com
CT0207,P-1166,Carmen Petrov,FINANCE,mail.test
CT0208,P-1087,Elena Eriksen,WAREHOUSE,mail.test
CT0209,P-1110,Tomas Kovacs,BUYER,corp.example
CT0210,P-1013,Aisha Gallo,FINANCE,mail.test
CT0211,P-1094,Katya Costa,BUYER,mail.test
CT0212,P-1158,Ines Hansen,BUYER,example.com
CT0213,P-1152,Dev Sorensen,WAREHOUSE,corp.example
CT0214,P-1193,Stefan Jensen,BUYER,corp.example
CT0215,P-1112,Femi Lindgren,FINANCE,corp.example
CT0216,P-1013,Boris Jensen,OPS,example.com
CT0217,P-1021,Priya Jensen,BUYER,example.com
CT0218,P-1155,Tomas Adler,WAREHOUSE,mail.test
CT0219,P-1215,Rosa Brennan,BUYER,example.com
CT0220,P-1013,Boris Sorensen,OPS,example.com
CT0221,P-1024,Dev Adler,BUYER,corp.example
CT0222,P-1160,Hamid Fuentes,WAREHOUSE,mail.test
CT0223,P-1013,Hamid Tanaka,OPS,mail.test
CT0224,P-1087,Priya Marek,BUYER,example.com
CT0225,P-1238,Nadia Okafor,WAREHOUSE,corp.example
CT0226,P-1024,Katya Petrov,OPS,mail.test
CT0227,P-1125,Nadia Marek,WAREHOUSE,mail.test
CT0228,P-1042,Greta Quist,FINANCE,mail.test
CT0229,P-1006,Greta Tanaka,FINANCE,mail.test
CT0230,P-1190,Omar Costa,OPS,example.com
CT0231,P-1056,Quinn Iqbal,BUYER,example.com
CT0232,P-1239,Lars Fuentes,WAREHOUSE,example.com
CT0233,P-1228,Greta Hansen,OPS,corp.example
CT0234,P-1004,Ines Jensen,OPS,corp.example
CT0235,P-1154,Aisha Gallo,OPS,corp.example
CT0236,P-1222,Quinn Sorensen,OPS,corp.example
CT0237,P-1082,Tomas Tanaka,FINANCE,corp.example
CT0238,P-1129,Carmen Adler,FINANCE,mail.test
CT0239,P-1004,Nadia Lindgren,WAREHOUSE,example.com
CT0240,P-1174,Boris Dvorak,WAREHOUSE,example.com
CT0241,P-1143,Lars Sorensen,BUYER,mail.test
CT0242,P-1239,Priya Tanaka,FINANCE,mail.test
CT0243,P-1189,Omar Okafor,FINANCE,corp.example
CT0244,P-1037,Quinn Iqbal,FINANCE,corp.example
CT0245,P-1134,Stefan Tanaka,OPS,mail.test
CT0246,P-1176,Rosa Costa,FINANCE,corp.example
CT0247,P-1189,Rosa Jensen,FINANCE,mail.test
CT0248,P-1003,Hamid Fuentes,WAREHOUSE,corp.example
CT0249,P-1121,Katya Petrov,FINANCE,corp.example
CT0250,P-1079,Aisha Iqbal,OPS,example.com
CT0251,P-1041,Boris Petrov,WAREHOUSE,corp.example
CT0252,P-1101,Lars Gallo,BUYER,corp.example
CT0253,P-1085,Femi Eriksen,OPS,corp.example
CT0254,P-1112,Mei Hansen,BUYER,corp.example
CT0255,P-1171,Hamid Lindgren,FINANCE,mail.test
CT0256,P-1133,Dev Eriksen,BUYER,corp.example
CT0257,P-1141,Femi Novak,BUYER,mail.test
CT0258,P-1050,Jonas Eriksen,BUYER,corp.example
CT0259,P-1068,Carmen Kovacs,WAREHOUSE,mail.test
CT0260,P-1176,Katya Costa,WAREHOUSE,mail.test
CT0261,P-1198,Elena Kovacs,FINANCE,corp.example
CT0262,P-1055,Nadia Okafor,OPS,corp.example
CT0263,P-1085,Stefan Hansen,FINANCE,mail.test
CT0264,P-1112,Nadia Riva,FINANCE,mail.test
CT0265,P-1063,Carmen Okafor,WAREHOUSE,example.com
CT0266,P-1003,Ines Riva,OPS,mail.test
CT0267,P-1035,Aisha Marek,WAREHOUSE,example.com
CT0268,P-1008,Greta Jensen,BUYER,mail.test
CT0269,P-1234,Priya Sorensen,WAREHOUSE,corp.example
CT0270,P-1041,Greta Costa,FINANCE,example.com
CT0271,P-1034,Hamid Riva,OPS,example.com
CT0272,P-1135,Femi Costa,BUYER,corp.example
CT0273,P-1238,Ines Costa,WAREHOUSE,example.com
CT0274,P-1186,Priya Iqbal,FINANCE,corp.example
CT0275,P-1179,Boris Sorensen,OPS,mail.test
CT0276,P-1037,Greta Costa,BUYER,corp.example
CT0277,P-1217,Stefan Kovacs,WAREHOUSE,example.com
CT0278,P-1092,Carmen Dvorak,BUYER,corp.example
CT0279,P-1148,Jonas Dvorak,WAREHOUSE,corp.example
CT0280,P-1056,Priya Costa,OPS,mail.test
CT0281,P-1127,Mei Quist,BUYER,corp.example
CT0282,P-1222,Mei Lindgren,OPS,example.com
CT0283,P-1057,Boris Marek,OPS,example.com
CT0284,P-1020,Dev Eriksen,WAREHOUSE,corp.example
CT0285,P-1067,Lars Tanaka,BUYER,mail.test
CT0286,P-1124,Mei Lindgren,BUYER,corp.example
CT0287,P-1012,Dev Quist,FINANCE,example.com
CT0288,P-1036,Femi Dvorak,OPS,mail.test
CT0289,P-1048,Jonas Sorensen,FINANCE,corp.example
CT0290,P-1103,Elena Hansen,OPS,mail.test
CT0291,P-1240,Quinn Riva,BUYER,example.com
CT0292,P-1155,Greta Gallo,OPS,example.com
CT0293,P-1137,Rosa Fuentes,OPS,mail.test
CT0294,P-1175,Aisha Sorensen,OPS,example.com
CT0295,P-1083,Aisha Jensen,FINANCE,corp.example
CT0296,P-1055,Boris Adler,OPS,example.com
CT0297,P-1007,Aisha Novak,BUYER,mail.test
CT0298,P-1043,Katya Fuentes,BUYER,example.com
CT0299,P-1158,Aisha Petrov,OPS,mail.test
CT0300,P-1021,Jonas Adler,OPS,mail.test
CT0301,P-1009,Katya Riva,FINANCE,corp.example
CT0302,P-1137,Boris Riva,OPS,corp.example
CT0303,P-1205,Carmen Hansen,FINANCE,corp.example
CT0304,P-1130,Aisha Adler,WAREHOUSE,example.com
CT0305,P-1125,Hamid Sorensen,OPS,example.com
CT0306,P-1155,Tomas Gallo,FINANCE,corp.example
CT0307,P-1155,Dev Okafor,FINANCE,example.com
CT0308,P-1235,Femi Petrov,BUYER,mail.test
CT0309,P-1183,Omar Costa,OPS,corp.example
CT0310,P-1064,Carmen Quist,FINANCE,mail.test
CT0311,P-1218,Hamid Fuentes,FINANCE,corp.example
CT0312,P-1148,Hamid Petrov,WAREHOUSE,mail.test
CT0313,P-1179,Quinn Gallo,BUYER,mail.test
CT0314,P-1196,Greta Okafor,FINANCE,example.com
CT0315,P-1218,Mei Riva,WAREHOUSE,corp.example
CT0316,P-1179,Nadia Lindgren,FINANCE,example.com
CT0317,P-1204,Greta Marek,BUYER,example.com
CT0318,P-1140,Greta Tanaka,OPS,example.com
CT0319,P-1087,Katya Riva,FINANCE,corp.example
CT0320,P-1098,Greta Hansen,WAREHOUSE,corp.example
CT0321,P-1001,Katya Dvorak,OPS,mail.test
CT0322,P-1196,Hamid Jensen,OPS,mail.test
CT0323,P-1071,Boris Marek,WAREHOUSE,mail.test
CT0324,P-1016,Tomas Petrov,BUYER,mail.test
CT0325,P-1133,Lars Fuentes,BUYER,mail.test
CT0326,P-1004,Quinn Jensen,WAREHOUSE,corp.example
CT0327,P-1052,Jonas Okafor,WAREHOUSE,example.com
CT0328,P-1176,Omar Tanaka,WAREHOUSE,example.com
CT0329,P-1096,Ines Tanaka,BUYER,example.com
CT0330,P-1135,Katya Quist,BUYER,corp.example
CT0331,P-1025,Nadia Iqbal,FINANCE,corp.example
CT0332,P-1177,Lars Petrov,OPS,corp.example
CT0333,P-1222,Tomas Kovacs,BUYER,corp.example
CT0334,P-1035,Tomas Eriksen,FINANCE,mail.test
CT0335,P-1085,Femi Petrov,WAREHOUSE,mail.test
CT0336,P-1207,Ines Tanaka,OPS,corp.example
CT0337,P-1043,Elena Iqbal,FINANCE,corp.example
CT0338,P-1075,Femi Novak,WAREHOUSE,example.com
CT0339,P-1044,Lars Lindgren,OPS,corp.example
CT0340,P-1100,Dev Eriksen,OPS,mail.test
CT0341,P-1195,Dev Riva,BUYER,corp.example
CT0342,P-1124,Boris Hansen,BUYER,example.com
CT0343,P-1194,Katya Novak,FINANCE,example.com
CT0344,P-1159,Lars Petrov,FINANCE,example.com
CT0345,P-1113,Greta Gallo,FINANCE,corp.example
CT0346,P-1020,Rosa Riva,FINANCE,example.com
CT0347,P-1170,Aisha Eriksen,OPS,corp.example
CT0348,P-1036,Jonas Quist,FINANCE,corp.example
CT0349,P-1200,Boris Sorensen,WAREHOUSE,example.com
CT0350,P-1215,Priya Adler,WAREHOUSE,example.com
CT0351,P-1154,Stefan Dvorak,FINANCE,corp.example
CT0352,P-1045,Carmen Hansen,BUYER,example.com
CT0353,P-1087,Omar Adler,FINANCE,corp.example
CT0354,P-1240,Rosa Brennan,OPS,example.com
CT0355,P-1176,Mei Quist,BUYER,corp.example
CT0356,P-1032,Boris Tanaka,FINANCE,example.com
CT0357,P-1026,Dev Brennan,WAREHOUSE,corp.example
CT0358,P-1234,Nadia Eriksen,WAREHOUSE,mail.test
CT0359,P-1019,Mei Hansen,WAREHOUSE,example.com
CT0360,P-1151,Nadia Riva,FINANCE,mail.test
