emp_id,Name,role,depot,START,END
E607,Aisha Iqbal,PLANNER,L-211,2020-08-16,
E608,Omar Gallo,CS_AGENT,L-205,2023-11-16,
E609,Mei Eriksen,SUPERVISOR,L-215,2020-02-15,
E610,Carmen Riva,PLANNER,L-206,2019-01-20,
E611,Greta Hansen,FITTER,L-246,2020-06-25,
E612,Hamid Marek,SUPERVISOR,L-211,2023-06-23,2025-12-22
E613,Rosa Dvorak,CS_AGENT,L-225,2022-11-14,2025-11-05
E614,Jonas Fuentes,CS_AGENT,L-236,2024-04-30,
E615,Greta Novak,PLANNER,L-206,2024-12-10,
E616,Dev Quist,CS_AGENT,L-231,2022-02-04,
E617,Mei Lindgren,LOADER,L-231,2019-02-16,
E618,Quinn Quist,SUPERVISOR,L-206,2018-10-13,
E619,Rosa Jensen,PLANNER,L-220,2019-05-21,
E620,Quinn Eriksen,LOADER,L-211,2022-02-27,2026-01-13
E621,Rosa Costa,FITTER,L-225,2021-09-30,
E622,Quinn Jensen,LOADER,L-210,2019-12-29,
E623,Dev Petrov,FITTER,L-251,2024-10-24,
E624,Katya Novak,SUPERVISOR,L-230,2019-03-28,
E625,Hamid Tanaka,PLANNER,L-206,2019-01-12,
E626,Carmen Okafor,FITTER,L-250,2019-03-01,
E627,Dev Iqbal,PLANNER,L-251,2024-02-26,
E628,Dev Jensen,LOADER,L-245,2022-02-07,
E629,Lars Marek,SUPERVISOR,L-255,2023-03-12,
E630,Rosa Riva,FITTER,L-260,2023-06-11,
E631,Tomas Dvorak,LOADER,L-231,2022-12-30,
E632,Omar Novak,LOADER,L-241,2020-03-28,
E633,Jonas Fuentes,CS_AGENT,L-210,2019-12-31,
E634,Stefan Gallo,LOADER,L-211,2024-05-11,
E635,Elena Petrov,FITTER,L-211,2018-09-19,
E636,Femi Fuentes,PLANNER,L-246,2023-02-12,
E637,Priya Petrov,PLANNER,L-206,2021-04-01,
E638,Boris Petrov,CS_AGENT,L-221,2019-07-15,
E639,Mei Kovacs,LOADER,L-205,2021-06-27,
